link_text,predicted_slug,exists_in_books_dir
RSS,RSS,True
attachments/The-Anarchist-Cookbook.jpg|height=120,attachmentsThe-Anarchist-Cookbook.jpgheight=120,False
The Anarchist Cookbook,The-Anarchist-Cookbook,True
attachments/At-the-Feet-of-Living-Things.jpg|height=120,attachmentsAt-the-Feet-of-Living-Things.jpgheight=120,False
At the Feet of Living Things,At-the-Feet-of-Living-Things,True
attachments/Charlotte's-Web.jpg|height=120,attachmentsCharlotte's-Web.jpgheight=120,False
Charlotte's Web,Charlotte's-Web,True
attachments/Indian-Summer-The-Secret-History-of-the-End-of-an-Empire.jpg|height=120,attachmentsIndian-Summer-The-Secret-History-of-the-End-of-an-Empire.jpgheight=120,False
Indian Summer: The Secret History of the End of an Empire,Indian-Summer-The-Secret-History-of-the-End-of-an-Empire,True
"attachments/M.S.-Golwalkar,-the-RSS-and-India.jpg|height=120","attachmentsM.S.-Golwalkar,-the-RSS-and-India.jpgheight=120",False
"M.S. Golwalkar, the RSS and India","M.S.-Golwalkar,-the-RSS-and-India",True
attachments/The-Truth-Pill-The-Myth-of-Drug-Regulation-in-India.jpg|height=120,attachmentsThe-Truth-Pill-The-Myth-of-Drug-Regulation-in-India.jpgheight=120,False
The Truth Pill: The Myth of Drug Regulation in India,The-Truth-Pill-The-Myth-of-Drug-Regulation-in-India,True
"attachments/Mapping-Social-Exclusion-in-India-Caste,-Religion-and-Borderlands.jpg|height=120","attachmentsMapping-Social-Exclusion-in-India-Caste,-Religion-and-Borderlands.jpgheight=120",False
"Mapping Social Exclusion in India: Caste, Religion and Borderlands","Mapping-Social-Exclusion-in-India-Caste,-Religion-and-Borderlands",True
attachments/How-Fascism-Works-The-Politics-of-Us-and-Them.jpg|height=120,attachmentsHow-Fascism-Works-The-Politics-of-Us-and-Them.jpgheight=120,False
How Fascism Works: The Politics of Us and Them,How-Fascism-Works-The-Politics-of-Us-and-Them,True
attachments/Indira-Gandhi-A-Life-in-Nature.jpg|height=120,attachmentsIndira-Gandhi-A-Life-in-Nature.jpgheight=120,False
Indira Gandhi: A Life in Nature,Indira-Gandhi-A-Life-in-Nature,True
attachments/How-China-Sees-India-and-the-World.jpg|height=120,attachmentsHow-China-Sees-India-and-the-World.jpgheight=120,False
How China Sees India and the World,How-China-Sees-India-and-the-World,True
attachments/Green-Humour-for-a-Greying-Planet-(Amazingly-evocative-cartoons-on-environment-and-ecology-by-renowned-cartoonist-Rohan-Chakravarty).jpg|height=120,attachmentsGreen-Humour-for-a-Greying-Planet-(Amazingly-evocative-cartoons-on-environment-and-ecology-by-renowned-cartoonist-Rohan-Chakravarty).jpgheight=120,False
Green Humour for a Greying Planet (Amazingly evocative cartoons on environment and ecology by renowned cartoonist Rohan Chakravarty),Green-Humour-for-a-Greying-Planet-(Amazingly-evocative-cartoons-on-environment-and-ecology-by-renowned-cartoonist-Rohan-Chakravarty),True
attachments/A-History-of-the-Personal-Computer-The-People-and-the-Technology.jpg|height=120,attachmentsA-History-of-the-Personal-Computer-The-People-and-the-Technology.jpgheight=120,False
A History of the Personal Computer: The People and the Technology,A-History-of-the-Personal-Computer-The-People-and-the-Technology,True
attachments/The-Wild-Heart-of-India.jpg|height=120,attachmentsThe-Wild-Heart-of-India.jpgheight=120,False
The Wild Heart of India,The-Wild-Heart-of-India,True
attachments/Orientalism.jpg|height=120,attachmentsOrientalism.jpgheight=120,False
Orientalism,Orientalism,True
attachments/Periyar-A-Study-in-Political-Atheism.jpg|height=120,attachmentsPeriyar-A-Study-in-Political-Atheism.jpgheight=120,False
Periyar: A Study in Political Atheism,Periyar-A-Study-in-Political-Atheism,True
"attachments/This-Seat-is-Reserved-Caste,-Quotas-and-the-Constitution-of-India.jpg|height=120","attachmentsThis-Seat-is-Reserved-Caste,-Quotas-and-the-Constitution-of-India.jpgheight=120",False
"This Seat is Reserved: Caste, Quotas and the Constitution of India","This-Seat-is-Reserved-Caste,-Quotas-and-the-Constitution-of-India",True
"attachments/The-Rise-and-Reign-of-the-Mammals-A-New-History,-from-the-Shadow-of-the-Dinosaurs-to-Us.jpg|height=120","attachmentsThe-Rise-and-Reign-of-the-Mammals-A-New-History,-from-the-Shadow-of-the-Dinosaurs-to-Us.jpgheight=120",False
"The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us","The-Rise-and-Reign-of-the-Mammals-A-New-History,-from-the-Shadow-of-the-Dinosaurs-to-Us",True
attachments/Common-Knowledge-An-Ethnography-of-Wikipedia.jpg|height=120,attachmentsCommon-Knowledge-An-Ethnography-of-Wikipedia.jpgheight=120,False
Common Knowledge?: An Ethnography of Wikipedia,Common-Knowledge-An-Ethnography-of-Wikipedia,True
attachments/Men-Explain-Things-to-Me.jpg|height=120,attachmentsMen-Explain-Things-to-Me.jpgheight=120,False
Men Explain Things to Me,Men-Explain-Things-to-Me,True
attachments/Spike-The-Virus-vs.-The-People---the-Inside-Story.jpg|height=120,attachmentsSpike-The-Virus-vs.-The-People---the-Inside-Story.jpgheight=120,False
Spike: The Virus vs. The People - the Inside Story,Spike-The-Virus-vs.-The-People---the-Inside-Story,True
"attachments/The-Empire-of-Nature-Hunting,-Conservation-and-British-Imperialism.jpg|height=120","attachmentsThe-Empire-of-Nature-Hunting,-Conservation-and-British-Imperialism.jpgheight=120",False
"The Empire of Nature: Hunting, Conservation and British Imperialism","The-Empire-of-Nature-Hunting,-Conservation-and-British-Imperialism",True
attachments/Books-v.-Cigarettes.jpg|height=120,attachmentsBooks-v.-Cigarettes.jpgheight=120,False
Books v. Cigarettes,Books-v.-Cigarettes,True
attachments/The-Species-That-Changed-Itself-How-Prosperity-Reshaped-Humanity.jpg|height=120,attachmentsThe-Species-That-Changed-Itself-How-Prosperity-Reshaped-Humanity.jpgheight=120,False
The Species That Changed Itself: How Prosperity Reshaped Humanity,The-Species-That-Changed-Itself-How-Prosperity-Reshaped-Humanity,True
attachments/A-Southern-Music-The-Karnatik-Story.jpg|height=120,attachmentsA-Southern-Music-The-Karnatik-Story.jpgheight=120,False
A Southern Music: The Karnatik Story,A-Southern-Music-The-Karnatik-Story,True
attachments/LEADERSHIP-LESSONS-FOR-DAILY-LIVING.jpg|height=120,attachmentsLEADERSHIP-LESSONS-FOR-DAILY-LIVING.jpgheight=120,False
LEADERSHIP LESSONS FOR DAILY LIVING,LEADERSHIP-LESSONS-FOR-DAILY-LIVING,True
attachments/Introduction-to-the-Constitution-of-India.jpg|height=120,attachmentsIntroduction-to-the-Constitution-of-India.jpgheight=120,False
Introduction to the Constitution of India,Introduction-to-the-Constitution-of-India,True
attachments/Data-Visualization-A-Practical-Introduction.jpg|height=120,attachmentsData-Visualization-A-Practical-Introduction.jpgheight=120,False
Data Visualization: A Practical Introduction,Data-Visualization-A-Practical-Introduction,True
attachments/Constitution-of-India.jpg|height=120,attachmentsConstitution-of-India.jpgheight=120,False
Constitution of India,Constitution-of-India,True
"attachments/Philosophy-of-Science-Volume-1,-From-Problem-to-Theory-(History-of-Ideas-Series).jpg|height=120","attachmentsPhilosophy-of-Science-Volume-1,-From-Problem-to-Theory-(History-of-Ideas-Series).jpgheight=120",False
"Philosophy of Science: Volume 1, From Problem to Theory (History of Ideas Series)","Philosophy-of-Science-Volume-1,-From-Problem-to-Theory-(History-of-Ideas-Series)",True
"attachments/No-Laughing-Matter-The-Ambedkar-Cartoons,-1932–1956.jpg|height=120","attachmentsNo-Laughing-Matter-The-Ambedkar-Cartoons,-1932–1956.jpgheight=120",False
"No Laughing Matter: The Ambedkar Cartoons, 1932–1956","No-Laughing-Matter-The-Ambedkar-Cartoons,-1932–1956",True
attachments/Textbook-of-Global-Health.jpg|height=120,attachmentsTextbook-of-Global-Health.jpgheight=120,False
Textbook of Global Health,Textbook-of-Global-Health,True
attachments/Nationalism.jpg|height=120,attachmentsNationalism.jpgheight=120,False
Nationalism,Nationalism,True
attachments/How-to-Read-Amartya-Sen.jpg|height=120,attachmentsHow-to-Read-Amartya-Sen.jpgheight=120,False
How to Read Amartya Sen,How-to-Read-Amartya-Sen,True
attachments/Bumping-Buffalo-(African-Animal-Tales).jpg|height=120,attachmentsBumping-Buffalo-(African-Animal-Tales).jpgheight=120,False
Bumping Buffalo (African Animal Tales),Bumping-Buffalo-(African-Animal-Tales),True
attachments/Handsome-Hog-(African-Animal-Tales).jpg|height=120,attachmentsHandsome-Hog-(African-Animal-Tales).jpgheight=120,False
Handsome Hog (African Animal Tales),Handsome-Hog-(African-Animal-Tales),True
attachments/Masala-Lab-The-Science-of-Indian-Cooking.jpg|height=120,attachmentsMasala-Lab-The-Science-of-Indian-Cooking.jpgheight=120,False
Masala Lab : The Science of Indian Cooking,Masala-Lab-The-Science-of-Indian-Cooking,True
attachments/Autobiography-Of-An-Unknown-Indian.jpg|height=120,attachmentsAutobiography-Of-An-Unknown-Indian.jpgheight=120,False
Autobiography Of An Unknown Indian,Autobiography-Of-An-Unknown-Indian,True
attachments/Caste-The-Origins-of-Our-Discontents.jpg|height=120,attachmentsCaste-The-Origins-of-Our-Discontents.jpgheight=120,False
Caste: The Origins of Our Discontents,Caste-The-Origins-of-Our-Discontents,True
attachments/How-Much-Land-Does-a-Man-Need-and-Other-Stories.jpg|height=120,attachmentsHow-Much-Land-Does-a-Man-Need-and-Other-Stories.jpgheight=120,False
How Much Land Does a Man Need? and Other Stories,How-Much-Land-Does-a-Man-Need-and-Other-Stories,True
attachments/Our-Hindu-Rashtra-What-It-Is.-How-We-Got-Here.jpg|height=120,attachmentsOur-Hindu-Rashtra-What-It-Is.-How-We-Got-Here.jpgheight=120,False
Our Hindu Rashtra: What It Is. How We Got Here,Our-Hindu-Rashtra-What-It-Is.-How-We-Got-Here,True
attachments/Modi's-India-Hindu-Nationalism-and-the-Rise-of-Ethnic-Democracy.jpg|height=120,attachmentsModi's-India-Hindu-Nationalism-and-the-Rise-of-Ethnic-Democracy.jpgheight=120,False
Modi's India: Hindu Nationalism and the Rise of Ethnic Democracy,Modi's-India-Hindu-Nationalism-and-the-Rise-of-Ethnic-Democracy,True
attachments/Healers-or-Predators-Healthcare-Corruption-in-India.jpg|height=120,attachmentsHealers-or-Predators-Healthcare-Corruption-in-India.jpgheight=120,False
Healers or Predators?: Healthcare Corruption in India,Healers-or-Predators-Healthcare-Corruption-in-India,True
attachments/The-Social-History-Of-Health-And-Medicine-In-Colonial-India.jpg|height=120,attachmentsThe-Social-History-Of-Health-And-Medicine-In-Colonial-India.jpgheight=120,False
The Social History Of Health And Medicine In Colonial India,The-Social-History-Of-Health-And-Medicine-In-Colonial-India,True
attachments/Age-Of-Pandemics-(1817-1920)-How-they-shaped-India-and-the-World.jpg|height=120,attachmentsAge-Of-Pandemics-(1817-1920)-How-they-shaped-India-and-the-World.jpgheight=120,False
Age Of Pandemics (1817-1920): How they shaped India and the World,Age-Of-Pandemics-(1817-1920)-How-they-shaped-India-and-the-World,True
attachments/Discovering-Bengaluru.jpg|height=120,attachmentsDiscovering-Bengaluru.jpgheight=120,False
Discovering Bengaluru,Discovering-Bengaluru,True
attachments/Invisible-Empire-The-Natural-History-of-Viruses.jpg|height=120,attachmentsInvisible-Empire-The-Natural-History-of-Viruses.jpgheight=120,False
Invisible Empire: The Natural History of Viruses,Invisible-Empire-The-Natural-History-of-Viruses,True
attachments/Children-of-Dune-(Dune-#3).jpg|height=120,attachmentsChildren-of-Dune-(Dune-#3).jpgheight=120,False
Children of Dune (Dune #3),Children-of-Dune-(Dune-#3),True
attachments/Viral-The-Search-For-the-Origin-Of-COVID-19.jpg|height=120,attachmentsViral-The-Search-For-the-Origin-Of-COVID-19.jpgheight=120,False
Viral: The Search For the Origin Of COVID-19,Viral-The-Search-For-the-Origin-Of-COVID-19,True
"attachments/The-Looking-Glass-War-(George-Smiley,-#4).jpg|height=120","attachmentsThe-Looking-Glass-War-(George-Smiley,-#4).jpgheight=120",False
"The Looking Glass War (George Smiley, #4)","The-Looking-Glass-War-(George-Smiley,-#4)",True
"attachments/The-Spy-Who-Came-In-from-the-Cold-(George-Smiley,-#3).jpg|height=120","attachmentsThe-Spy-Who-Came-In-from-the-Cold-(George-Smiley,-#3).jpgheight=120",False
"The Spy Who Came In from the Cold (George Smiley, #3)","The-Spy-Who-Came-In-from-the-Cold-(George-Smiley,-#3)",True
attachments/The-Man-Who-Planted-Trees.jpg|height=120,attachmentsThe-Man-Who-Planted-Trees.jpgheight=120,False
The Man Who Planted Trees,The-Man-Who-Planted-Trees,True
attachments/The-Second-Mountain.jpg|height=120,attachmentsThe-Second-Mountain.jpgheight=120,False
The Second Mountain,The-Second-Mountain,True
